id,title,type,genres,averageRating,numVotes,releaseYear
tt0219965,Bandits,movie,"Comedy, Crime, Drama",6.5,72620.0,2001.0
tt0220099,The Tigger Movie,movie,"Adventure, Animation, Comedy",6.3,21034.0,2000.0
tt0220100,Timecode,movie,"Drama, Romance",6.0,7232.0,2000.0
tt0220506,Halloween: Resurrection,movie,"Horror, Thriller",3.9,51523.0,2002.0
tt0220580,Intacto,movie,"Drama, Fantasy, Romance",6.8,13863.0,2001.0
tt0220627,Maelstrom,movie,Drama,6.7,7683.0,2000.0
tt0221027,Blow,movie,"Biography, Crime, Drama",7.5,281522.0,2001.0
tt0221073,Chopper,movie,"Biography, Crime, Drama",7.1,42932.0,2000.0
tt0221218,The Glass House,movie,"Crime, Drama, Mystery",5.8,41116.0,2001.0
tt0222012,Hey Ram,movie,"Crime, Drama, History",8.0,14550.0,2000.0
tt0222024,Hum Tumhare Hain Sanam,movie,"Comedy, Drama, Romance",5.4,8044.0,2002.0
tt0222270,Phir Bhi Dil Hai Hindustani,movie,"Comedy, Drama, Musical",6.2,9034.0,2000.0
tt0222812,Beyond Re-Animator,movie,"Comedy, Horror, Sci-Fi",5.7,13499.0,2003.0
tt0222850,The Broken Hearts Club: A Romantic Comedy,movie,"Comedy, Drama, Romance",6.9,8396.0,2000.0
tt0222851,Brother,movie,"Crime, Drama, Thriller",7.1,25274.0,2000.0
tt0223897,Pay It Forward,movie,Drama,7.2,126274.0,2000.0
tt0225071,Angel Eyes,movie,"Drama, Romance",5.7,26136.0,2001.0
tt0227005,Made,movie,"Comedy, Crime, Drama",6.3,19944.0,2001.0
tt0227194,One 2 Ka 4,movie,"Action, Crime, Drama",5.5,5922.0,2001.0
tt0227277,Burnt Money,movie,"Crime, Drama, Romance",7.0,7026.0,2000.0
tt0227445,The Score,movie,"Crime, Drama, Thriller",6.8,139043.0,2001.0
tt0227538,Spy Kids,movie,"Action, Adventure, Comedy",5.6,131532.0,2001.0
tt0227984,Formula 51,movie,"Action, Comedy, Crime",6.3,51779.0,2001.0
tt0228333,Ghosts of Mars,movie,"Action, Horror, Sci-Fi",4.9,59687.0,2001.0
tt0228687,Little Otik,movie,"Animation, Comedy, Drama",7.3,7149.0,2000.0
tt0228750,Proof of Life,movie,"Action, Drama, Thriller",6.3,59975.0,2000.0
tt0228786,The Crimson Rivers,movie,"Crime, Mystery, Thriller",6.9,67754.0,2000.0
tt0229260,Book of Shadows: Blair Witch 2,movie,"Adventure, Fantasy, Horror",4.0,41076.0,2000.0
tt0229340,Dinner Rush,movie,"Crime, Drama, Romance",7.2,6365.0,2000.0
tt0230011,Atlantis: The Lost Empire,movie,"Action, Adventure, Animation",6.9,140982.0,2001.0
tt0230030,Bedazzled,movie,"Comedy, Fantasy",6.1,115248.0,2000.0
tt0230169,Ed Gein,movie,"Biography, Crime, Drama",5.5,5775.0,2000.0
tt0230600,The Others,movie,"Horror, Mystery, Thriller",7.6,409157.0,2001.0
tt0230838,Sweet November,movie,"Drama, Romance",6.7,96795.0,2001.0
tt0231402,Crocodile Dundee in Los Angeles,movie,"Adventure, Comedy, Crime",4.8,26860.0,2001.0
tt0231448,Deuces Wild,movie,"Action, Drama",5.6,8059.0,2002.0
tt0231775,Down to Earth,movie,"Comedy, Fantasy",5.4,25276.0,2001.0
tt0232079,Mela,movie,"Action, Adventure, Comedy",3.7,5161.0,2000.0
tt0232083,Nightcap,movie,"Crime, Drama, Mystery",6.7,6221.0,2000.0
tt0232500,The Fast and the Furious,movie,"Action, Crime, Thriller",6.8,436956.0,2001.0
tt0233142,3000 Miles to Graceland,movie,"Action, Comedy, Crime",6.0,49930.0,2001.0
tt0233469,Collateral Damage,movie,"Action, Drama, Thriller",5.5,79361.0,2002.0
tt0233841,Baran,movie,"Drama, Romance",7.8,9209.0,2001.0
tt0234000,Kaho Naa... Pyaar Hai,movie,"Action, Musical, Romance",6.9,17243.0,2000.0
tt0234137,Love & Sex,movie,"Comedy, Drama, Romance",6.1,5883.0,2000.0
tt0234215,The Matrix Reloaded,movie,"Action, Sci-Fi",7.2,650807.0,2003.0
tt0234288,Divided We Fall,movie,"Comedy, Drama, War",7.6,5475.0,2000.0
tt0234829,Summer Catch,movie,"Comedy, Drama, Romance",5.1,16954.0,2001.0
tt0234837,Suzhou River,movie,"Drama, Romance",7.4,7487.0,2000.0
tt0234853,The Tao of Steve,movie,"Comedy, Drama, Romance",6.7,7898.0,2000.0
tt0235327,Dark Days,movie,Documentary,7.7,7333.0,2000.0
tt0235679,Pokémon 3 the Movie: Spell of the Unown,movie,"Action, Adventure, Animation",5.8,15894.0,2000.0
tt0235712,Ring 0: Birthday,movie,"Horror, Mystery, Thriller",5.9,10302.0,2000.0
tt0235737,The Salton Sea,movie,"Crime, Drama, Mystery",7.0,32718.0,2002.0
tt0236027,Flickering Lights,movie,"Action, Comedy, Crime",7.5,25414.0,2000.0
tt0236157,Disco Pigs,movie,"Crime, Drama, Romance",6.5,5433.0,2001.0
tt0236216,The Filth and the Fury,movie,"Biography, Documentary, Music",7.6,6293.0,2000.0
tt0236348,Josie and the Pussycats,movie,"Comedy, Music",5.7,25779.0,2001.0
tt0236388,The Original Kings of Comedy,movie,"Comedy, Documentary",6.8,6241.0,2000.0
tt0236493,The Mexican,movie,"Adventure, Comedy, Drama",6.1,118535.0,2001.0
tt0236640,Prozac Nation,movie,"Biography, Drama, Romance",6.2,19668.0,2001.0
tt0236784,The Tailor of Panama,movie,"Drama, Thriller",6.1,32023.0,2001.0
tt0237534,Brotherhood of the Wolf,movie,"Action, Adventure, Drama",7.0,74279.0,2001.0
tt0237539,Bread and Tulips,movie,"Comedy, Romance",7.3,11732.0,2000.0
tt0237572,The Pledge,movie,"Crime, Drama, Mystery",6.7,72920.0,2001.0
tt0237993,101 Reykjavík,movie,"Comedy, Drama, Romance",6.8,10080.0,2000.0
tt0238112,Captain Corelli's Mandolin,movie,"Drama, Music, Romance",5.9,36734.0,2001.0
tt0238119,Boys Don't Cry,movie,"Comedy, Crime",7.6,7699.0,2000.0
tt0238380,Equilibrium,movie,"Action, Drama, Sci-Fi",7.3,354781.0,2002.0
tt0238546,Queen of the Damned,movie,"Drama, Fantasy, Horror",5.3,62254.0,2002.0
tt0238552,Replicant,movie,"Action, Sci-Fi, Thriller",5.4,16176.0,2001.0
tt0238883,Brat 2,movie,"Action, Crime, Drama",7.6,18801.0,2000.0
tt0238891,One Hundred Steps,movie,"Biography, Crime, Drama",7.5,6783.0,2000.0
tt0238924,The Dangerous Lives of Altar Boys,movie,"Comedy, Drama",6.9,14436.0,2002.0
tt0238936,Devdas,movie,"Drama, Musical, Romance",7.5,48773.0,2002.0
tt0238948,Double Take,movie,"Action, Comedy, Crime",5.4,8897.0,2001.0
tt0239395,Cats & Dogs,movie,"Action, Adventure, Comedy",5.2,64079.0,2001.0
tt0239948,Saving Silverman,movie,"Comedy, Crime, Romance",5.9,44052.0,2001.0
tt0239949,Say It Isn't So,movie,"Comedy, Romance",5.0,13996.0,2001.0
tt0239986,Sidewalks of New York,movie,"Comedy, Romance",6.4,7003.0,2001.0
tt0240200,Water,movie,Drama,7.6,15566.0,2005.0
tt0240402,The Center of the World,movie,"Drama, Romance",5.8,5371.0,2001.0
tt0240419,The Swamp,movie,"Comedy, Drama",7.0,8504.0,2001.0
tt0240462,Dr. Dolittle 2,movie,"Comedy, Family, Fantasy",4.8,48635.0,2001.0
tt0240468,Kung Pow: Enter the Fist,movie,"Action, Comedy",6.2,49631.0,2002.0
tt0240510,The Four Feathers,movie,"Adventure, Drama, Romance",6.5,36040.0,2002.0
tt0240515,Freddy Got Fingered,movie,Comedy,4.7,52979.0,2001.0
tt0240772,Ocean's Eleven,movie,"Crime, Thriller",7.7,644225.0,2001.0
tt0240890,Serendipity,movie,"Comedy, Romance",6.8,126484.0,2001.0
tt0240900,Slackers,movie,"Comedy, Romance",5.3,15515.0,2002.0
tt0240913,Under the Sand,movie,"Drama, Mystery",7.0,11702.0,2000.0
tt0241025,Vanity Fair,movie,Drama,6.2,23858.0,2004.0
tt0241527,Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",7.7,901827.0,2001.0
tt0241760,The New Guy,movie,Comedy,5.8,38710.0,2002.0
tt0242193,Bully,movie,"Biography, Crime, Drama",6.9,41862.0,2001.0
tt0242252,The Affair of the Necklace,movie,"Drama, History, Romance",6.0,5698.0,2001.0
tt0242256,Alai Payuthey,movie,"Drama, Musical, Romance",8.3,7796.0,2000.0
tt0242423,"Dude, Where's My Car?",movie,"Comedy, Mystery, Sci-Fi",5.5,149130.0,2000.0
tt0242445,Exit Wounds,movie,"Action, Crime, Thriller",5.6,37720.0,2001.0
tt0242519,Hera Pheri,movie,"Action, Comedy, Crime",8.2,75825.0,2000.0
tt0242527,The Hole,movie,"Drama, Mystery, Thriller",6.2,49124.0,2001.0
tt0242587,L.I.E.,movie,"Crime, Drama",7.1,10796.0,2001.0
tt0242653,The Matrix Revolutions,movie,"Action, Sci-Fi",6.7,559949.0,2003.0
tt0242795,Come Undone,movie,"Drama, Romance",6.7,5501.0,2000.0
tt0242888,The Sleeping Dictionary,movie,"Drama, Romance",6.5,9549.0,2003.0
tt0242998,Valentine,movie,"Horror, Mystery, Thriller",4.9,30729.0,2001.0
tt0243017,Waking Life,movie,"Animation, Drama, Fantasy",7.6,68339.0,2001.0
tt0243133,The Man Who Wasn't There,movie,"Crime, Drama",7.5,117779.0,2001.0
tt0243155,Bridget Jones's Diary,movie,"Comedy, Drama, Romance",6.8,277535.0,2001.0
tt0243255,Fat Girl,movie,Drama,6.4,13401.0,2001.0
tt0243493,The Closet,movie,Comedy,7.0,18677.0,2001.0
tt0243585,Stuart Little 2,movie,"Adventure, Comedy, Family",5.5,60216.0,2002.0
tt0243609,To End All Wars,movie,"Action, Drama, War",6.9,11978.0,2001.0
tt0243655,Wet Hot American Summer,movie,"Comedy, Romance",6.5,62039.0,2001.0
tt0243736,40 Days and 40 Nights,movie,"Comedy, Romance",5.6,77209.0,2002.0
tt0243794,Pellet,movie,Drama,7.3,7253.0,2000.0
tt0243862,Italian for Beginners,movie,"Comedy, Drama, Romance",7.0,14178.0,2000.0
